@relation ProteinFoldsDicotsFeatSelect

@attribute pcvA numeric
@attribute pcvR numeric
@attribute pcvN numeric
@attribute pcvD numeric
@attribute pcvC numeric
@attribute pcvQ numeric
@attribute pcvE numeric
@attribute pcvG numeric
@attribute pcvH numeric
@attribute pcvI numeric
@attribute pcvL numeric
@attribute pcvK numeric
@attribute pcvM numeric
@attribute pcvF numeric
@attribute pcvP numeric
@attribute pcvS numeric
@attribute pcvT numeric
@attribute pcvW numeric
@attribute pcvY numeric
@attribute pcvV numeric
@attribute sscC numeric
@attribute sscE numeric
@attribute sscH numeric
@attribute dssC numeric
@attribute dssE numeric
@attribute dssH numeric
@attribute adssCCC numeric
@attribute adssCCE numeric
@attribute adssCCH numeric
@attribute adssCEE numeric
@attribute adssCHH numeric
@attribute adssECE numeric
@attribute adssECH numeric
@attribute adssEEC numeric
@attribute adssEEE numeric
@attribute adssHCH numeric
@attribute phyCsativus numeric
@attribute phyGmax numeric
@attribute phyLjaponicus numeric
@attribute phyPpersica numeric
@attribute phyRcommunis numeric
@attribute phySlycoparsicum numeric
@attribute length numeric
@attribute class {a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,-}

@data
8,8,10,23,1,12,19,9,6,5,7,12,13,7,15,13,5,4,15,4,0.562,0.3796,0.0584,6,6,1,0,0,0,1,0,2,1,1,1,0,1,1,1,1,1,1,1.37,l
17,6,12,11,1,3,4,17,2,13,7,18,12,4,4,13,8,11,2,16,0.3099,0,0.6901,3,0,6,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1.42,a
30,9,1,17,0,27,13,7,5,13,5,17,20,9,9,7,4,3,9,11,0.3053,0,0.6947,1,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.31,d
8,4,8,14,11,4,4,22,8,12,4,5,4,13,16,8,15,4,13,13,0.6,0.3364,0.0636,11,9,1,0,2,0,2,0,4,1,2,0,0,0,0,0,0,0,0,2.2,i
13,35,5,8,2,5,13,16,4,12,10,15,13,7,5,4,14,4,1,19,0.4118,0.5147,0.0735,1,5,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0.68,v
24,8,4,0,3,10,2,19,0,18,11,10,4,1,10,8,13,0,9,20,0.375,0.1736,0.4514,3,4,4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1.44,s
6,6,9,25,0,29,9,7,6,14,11,10,14,18,20,6,12,14,12,15,0.4753,0.4259,0.0988,4,7,1,0,0,0,1,0,0,1,1,5,0,0,0,0,0,0,0,1.62,o
9,10,8,7,6,19,16,5,6,2,17,9,8,5,34,16,15,4,2,5,0.3563,0,0.6437,4,0,5,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1.74,e
7,13,18,12,1,15,15,0,6,17,14,5,15,11,18,8,12,13,1,13,0.6991,0.2407,0.0602,9,5,0,3,2,0,1,0,2,0,1,0,0,1,1,0,1,1,1,2.16,g
10,21,8,34,6,17,7,3,23,17,12,2,0,19,8,7,23,1,13,16,0.3739,0.6261,0,2,7,0,0,0,0,2,0,2,0,1,2,0,0,0,0,0,0,1,1.15,g
8,6,10,13,0,11,16,12,13,15,9,11,1,3,27,9,15,2,0,19,0.5495,0.4027,0.0478,10,14,1,0,1,0,2,0,5,1,2,4,0,1,1,0,1,1,1,2.93,p
3,16,9,6,5,15,15,13,3,8,21,5,16,4,16,16,17,9,10,5,0.67,0.33,0,8,7,0,1,2,0,1,0,2,0,1,1,0,0,0,0,0,0,0,2.03,g
1,15,16,7,2,5,9,23,7,24,16,18,1,31,10,6,10,7,13,17,0.5116,0.1452,0.3432,10,3,7,1,0,2,0,0,0,3,0,0,2,1,1,1,1,1,1,3.03,p
5,14,8,15,2,13,11,7,16,15,21,17,17,12,4,8,6,5,6,7,0.4062,0.1094,0.4844,1,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.64,c
14,10,10,11,4,22,18,6,14,17,27,4,4,6,14,6,1,8,5,11,0.4144,0.1934,0.3923,5,3,4,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1.81,k
18,17,0,4,0,16,13,8,0,4,15,23,17,5,2,5,9,0,9,12,0.2595,0,0.7405,2,0,5,0,0,0,0,1,0,0,0,0,2,1,1,1,0,1,1,1.31,t
7,9,6,14,1,18,16,12,11,16,10,6,6,3,8,3,8,2,9,21,0.2966,0.0169,0.6864,4,0,5,0,0,0,0,1,0,0,0,0,3,1,1,1,0,1,1,1.18,t
9,9,8,4,12,18,8,8,0,14,9,6,8,10,21,13,13,18,15,14,0.4541,0.4757,0.0703,4,9,1,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,1.85,i
5,7,15,19,0,12,18,5,0,5,18,8,17,9,6,16,22,0,2,8,0.5348,0.3342,0.131,16,15,4,1,2,0,2,0,7,2,1,0,0,0,0,0,0,0,0,3.74,i
2,5,2,18,0,5,6,8,5,15,5,13,5,20,8,8,27,13,22,11,0.4513,0.1625,0.3863,9,7,8,0,0,0,0,1,0,4,1,1,2,1,1,1,1,1,1,2.77,w
2,7,11,25,12,12,18,17,14,14,2,9,1,8,16,7,7,11,17,13,0.6288,0.31,0.0611,10,8,1,0,3,0,1,0,3,1,1,1,0,0,0,0,0,1,0,2.29,n
8,17,7,17,0,26,26,0,8,7,11,15,30,23,0,3,9,0,5,6,0.4878,0.0488,0.4634,4,1,4,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1.23,d
7,10,12,11,16,2,9,3,8,8,7,1,1,28,28,22,10,3,4,3,0.5918,0.0735,0.3347,15,4,12,0,0,1,0,0,0,3,0,0,7,1,1,1,1,1,1,4.9,p
12,2,4,0,30,24,0,34,5,4,1,2,0,2,11,7,26,23,11,6,0.8056,0.1944,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,-
25,6,5,12,22,11,10,23,12,5,2,12,3,5,7,16,9,0,10,10,0.4699,0,0.5301,3,0,4,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0.83,b
8,18,18,0,3,17,3,4,27,17,6,2,7,28,11,29,18,13,26,6,0.3708,0.2753,0.3539,6,6,3,0,0,0,2,1,2,2,2,0,0,0,0,0,0,0,0,1.78,g
5,5,15,15,4,13,13,20,6,13,16,6,3,6,13,8,11,7,7,20,0.5051,0.4949,0,2,5,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0.99,g
25,17,5,18,0,17,11,7,3,13,6,8,7,13,8,22,11,11,11,13,0.6525,0.065,0.2825,11,1,8,0,0,3,0,0,0,1,0,0,4,1,1,1,1,1,1,4,g
9,8,13,6,12,18,11,11,11,7,2,8,1,15,12,13,30,6,10,22,0.5243,0.4757,0,3,5,0,0,1,0,1,0,1,0,2,0,0,0,0,0,1,0,1,1.03,p
9,18,13,6,3,6,9,22,5,19,18,10,19,20,10,7,1,16,6,11,0.551,0.0991,0.3499,12,4,8,1,1,2,0,1,0,2,0,0,3,1,1,1,1,1,1,3.43,p
2,17,11,23,7,12,14,10,7,15,11,4,4,1,29,8,14,0,2,21,0.5657,0.4343,0,5,6,0,0,0,0,2,0,3,0,2,0,0,0,0,0,0,0,0,0.99,g
28,9,5,16,0,32,17,5,4,12,4,18,20,11,13,8,4,3,8,9,0.2756,0,0.7244,2,0,4,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1.27,d
15,26,4,5,7,11,15,5,18,9,14,17,7,10,17,7,14,7,9,6,0.3411,0.3488,0.3101,2,4,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1.29,c
9,6,11,5,2,9,16,6,1,5,9,13,5,20,11,17,14,1,12,12,0.5094,0.4906,0,4,8,0,0,0,0,2,0,4,0,2,0,0,0,0,0,0,0,0,1.06,g
3,6,13,7,12,15,9,7,6,7,13,10,15,1,16,14,16,5,2,12,0.4366,0.5634,0,1,6,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0.71,g
15,9,7,25,6,19,21,9,2,5,10,6,4,25,14,6,5,2,16,11,0.614,0.386,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.57,k
4,19,17,6,7,33,16,2,13,15,12,13,13,3,11,8,12,0,2,15,0.529,0.3742,0.0968,4,6,1,0,0,0,3,0,2,0,2,0,0,0,0,0,0,0,0,1.55,l
20,13,12,22,10,15,10,9,12,6,15,12,12,22,0,13,0,4,39,7,0.5421,0.0273,0.4305,11,1,12,1,0,1,0,3,0,1,0,0,6,1,0,0,1,0,0,4.39,g
15,11,7,9,14,17,8,4,14,9,10,0,18,5,14,23,12,0,0,6,0.3797,0,0.6203,4,0,4,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1.87,e
22,10,1,13,6,0,10,33,9,21,7,0,1,11,2,19,5,1,19,34,0.6888,0.1752,0.136,8,4,3,3,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,3.31,q
2,14,5,9,7,17,9,23,3,5,5,16,10,28,0,19,7,6,29,5,0.5337,0.4327,0.0337,8,11,1,0,0,0,1,0,7,1,1,1,0,1,1,1,1,1,1,2.08,j
13,11,1,9,3,11,7,14,13,2,0,6,1,6,41,9,3,18,10,4,0.6891,0.0252,0.2857,4,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.19,f
6,6,29,24,0,8,13,0,4,6,6,4,3,18,0,15,12,3,9,4,0.7374,0.1676,0.095,7,5,1,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,1.79,f
30,10,7,16,0,22,14,6,5,13,6,18,18,6,9,6,3,7,9,8,0.2636,0,0.7364,1,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.29,d
12,13,6,6,0,12,4,0,15,10,1,11,1,1,35,10,15,10,3,12,0.5039,0.0315,0.4646,6,0,4,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1.27,e
17,2,12,12,0,4,6,10,6,15,10,8,1,8,20,15,11,15,9,14,0.4393,0.5327,0.028,3,7,0,0,0,0,2,0,1,0,2,3,0,0,0,0,0,0,0,1.07,g
14,4,15,16,0,5,5,8,11,2,10,5,4,2,19,13,18,7,4,3,0.6254,0.0958,0.2789,11,4,6,1,0,1,0,0,1,2,0,0,2,1,0,1,1,1,1,3.55,p
6,2,10,10,2,5,12,8,2,6,8,10,3,0,38,14,11,2,1,15,0.6789,0.3211,0,7,5,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1.09,g
27,6,15,14,0,11,17,7,1,9,17,10,1,4,10,20,7,0,9,11,0.2917,0,0.7083,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.48,l
17,8,4,21,0,17,11,7,0,5,7,13,11,8,16,6,10,11,5,5,0.6065,0.3548,0.0387,6,6,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,1.55,h
18,29,4,0,0,14,5,11,0,3,6,20,10,0,2,13,20,0,0,2,0.5105,0.2316,0.2579,9,5,4,0,1,0,1,1,1,2,1,0,0,0,0,0,0,0,0,1.9,i
12,18,7,9,4,4,4,35,1,16,16,10,10,13,0,19,15,0,0,10,0.4467,0.1393,0.4139,6,4,7,0,0,0,0,0,0,2,0,0,2,1,1,1,1,1,1,2.44,s
40,4,13,10,24,12,10,16,15,6,5,9,4,9,1,9,3,0,4,10,0.4444,0,0.5556,3,0,4,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0.9,b
4,11,3,18,0,8,19,0,16,13,14,15,5,2,26,8,11,1,10,10,0.5805,0.2732,0.1463,7,7,3,0,0,1,2,0,2,0,2,2,1,0,1,1,0,1,1,2.05,h
10,17,11,3,8,6,7,31,15,27,6,19,20,4,5,4,4,5,12,27,0.5655,0.1964,0.2381,7,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68,s
16,1,3,23,0,1,10,0,1,9,7,7,10,22,24,11,7,1,10,9,0.5204,0.4286,0.051,3,3,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0.98,t
6,25,0,3,1,17,18,20,0,11,1,22,0,9,3,9,12,0,5,12,0.4874,0.2521,0.2605,7,3,2,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1.19,z
17,10,3,8,11,3,1,26,2,21,11,18,18,4,2,12,14,1,5,10,0.4772,0.0996,0.4232,6,3,8,0,0,0,0,1,0,2,0,0,4,0,0,0,0,0,0,2.41,t
8,13,11,15,22,6,3,8,6,16,26,14,4,7,25,5,12,8,4,15,0.4096,0.4458,0.1446,4,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.83,z
8,2,7,20,2,5,5,14,9,23,14,2,27,7,11,13,12,0,0,19,0.4178,0.1233,0.4589,6,5,11,0,0,0,0,1,0,3,0,0,3,1,1,1,1,1,1,2.92,p
22,11,3,8,0,17,3,8,11,8,4,2,26,10,21,15,12,11,8,1,0.7135,0.1986,0.0879,33,19,7,4,5,1,3,0,7,5,3,1,1,0,0,0,0,0,0,9.67,i
21,22,15,4,3,9,1,25,8,19,8,8,27,0,3,10,8,0,0,15,0.4634,0.1585,0.378,3,2,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.64,s
10,10,13,13,0,2,12,23,0,3,14,16,11,16,0,9,8,10,17,7,0.4641,0.1176,0.4183,5,1,4,0,0,2,0,1,0,0,0,0,1,1,1,0,1,1,1,1.53,p
14,7,4,16,0,7,6,21,6,19,10,3,17,12,15,12,18,9,16,15,0.4534,0.1949,0.3517,7,8,6,0,0,0,0,1,2,4,1,0,0,1,1,1,1,1,1,2.36,w
3,21,9,19,2,14,26,7,14,14,15,16,10,18,5,12,7,0,21,8,0.4337,0,0.5663,3,0,4,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0.83,f
5,17,7,1,1,24,0,12,17,23,17,19,1,4,22,9,10,9,7,16,0.5115,0.4885,0,6,8,0,0,0,0,1,0,6,0,1,0,0,1,1,1,1,1,1,1.31,p
3,1,7,13,0,16,12,18,18,11,3,1,3,15,10,13,5,4,36,10,0.4557,0.2911,0.2532,3,3,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0.79,g
13,2,21,6,7,5,7,16,4,18,19,11,25,13,17,9,12,2,3,14,0.508,0.1254,0.3666,11,3,8,0,0,2,0,0,0,2,0,0,3,1,1,1,1,1,1,3.11,p
5,5,7,19,0,5,9,18,0,22,17,16,7,9,15,6,10,0,6,29,0.4637,0.0866,0.4497,12,3,11,0,0,1,0,1,0,2,0,0,5,1,1,0,1,1,1,3.58,p
15,11,11,8,7,6,7,17,8,19,14,13,14,16,9,8,20,0,4,11,0.4171,0.1486,0.4343,6,4,6,0,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,1.75,s
6,7,2,23,0,9,35,5,0,19,21,9,13,3,3,9,13,14,17,9,0.3425,0.0822,0.5753,1,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.73,c
15,0,8,13,1,20,22,10,8,10,4,21,1,9,23,6,15,5,16,15,0.4021,0.127,0.4709,6,2,7,0,1,1,0,1,0,2,0,0,0,0,0,1,0,0,0,1.89,u
36,5,6,9,23,8,5,34,12,6,1,16,7,1,12,8,7,1,3,5,0.443,0,0.557,2,0,4,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0.79,b
16,15,10,15,0,12,11,2,8,11,5,22,13,28,5,15,6,5,22,10,0.391,0.1955,0.4135,3,4,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1.33,r
25,12,10,0,3,1,11,3,29,14,22,6,23,3,9,5,12,0,11,14,0.4949,0.1633,0.3418,7,4,5,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1.96,s
10,5,8,14,6,11,25,8,1,3,8,21,13,24,1,15,8,11,22,6,0.3307,0.5591,0.1102,0,9,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1.27,o
8,18,8,8,0,8,11,8,8,20,4,9,2,8,9,14,13,0,11,15,0.3968,0.1587,0.4444,4,3,4,0,0,0,1,1,1,1,1,0,2,1,1,1,1,1,1,1.26,p
9,8,8,9,16,16,15,11,6,8,13,17,1,13,25,13,12,3,5,10,0.5592,0.4408,0,9,12,0,0,0,0,4,0,7,0,4,0,0,0,0,0,0,0,0,2.11,g
9,17,25,21,0,11,7,22,7,9,6,14,3,8,13,19,17,20,8,13,0.5978,0.1369,0.2654,10,6,6,0,0,0,0,0,1,4,0,0,2,1,1,1,1,1,1,3.58,p
29,3,4,6,12,2,2,6,0,11,10,0,17,6,30,23,16,0,1,7,0.5921,0.0947,0.3132,12,3,7,0,0,3,0,0,1,2,0,0,2,0,0,0,0,0,0,3.8,p
15,5,22,9,20,7,4,11,5,9,2,10,4,10,15,17,16,18,20,19,0.5683,0.1882,0.2435,10,6,4,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,2.71,p
4,10,3,8,3,10,23,14,13,7,7,15,4,10,8,8,13,3,12,9,0.4681,0.5319,0,1,6,0,0,0,0,1,0,1,0,0,3,0,1,1,1,1,1,1,0.94,t
1,4,20,13,39,2,12,18,33,4,4,6,7,15,17,12,9,5,20,4,0.8113,0.1887,0,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.53,-
1,10,12,26,40,6,19,17,10,3,1,4,1,8,4,5,0,15,19,4,0.5833,0.2222,0.1944,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,-
3,9,17,20,50,16,17,10,11,15,1,1,4,1,9,7,11,0,3,13,0.7209,0.2791,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,-
2,0,25,12,33,4,11,24,8,11,3,2,2,1,12,8,14,0,0,9,0.6923,0.3077,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,-
10,13,10,6,0,2,3,24,1,26,22,14,15,5,0,16,13,0,0,11,0.4776,0.1269,0.3955,11,5,7,0,0,1,0,0,0,3,0,0,2,1,1,1,1,1,1,2.68,s
10,8,12,18,0,23,10,13,3,15,13,13,13,20,27,8,5,5,13,19,0.4817,0.439,0.0793,5,8,1,0,0,0,1,0,1,1,1,5,0,0,0,0,0,0,0,1.64,o
31,6,4,9,0,3,4,26,6,6,5,2,9,9,20,20,7,9,16,12,0.6144,0.0588,0.3268,10,2,5,1,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,3.06,r
3,3,29,25,0,13,14,2,26,7,7,20,1,15,9,11,11,1,9,7,0.6076,0.2532,0.1392,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,l
7,5,26,16,26,10,20,15,4,2,4,20,6,3,6,10,6,5,13,4,0.4762,0.3605,0.1633,6,5,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.47,y
7,2,29,18,36,8,12,19,11,10,0,1,2,0,11,17,18,1,2,8,0.7436,0.2564,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,-
2,2,13,10,7,24,11,12,3,12,26,3,7,8,8,11,6,13,4,4,0.4182,0.1455,0.4364,3,1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1.1,c
45,4,3,8,23,9,9,21,11,5,1,15,3,0,8,6,4,0,0,9,0.5275,0,0.4725,2,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.91,b
25,15,6,15,0,13,16,25,2,12,13,15,3,5,13,1,8,6,8,13,0.5657,0,0.4343,2,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0.99,b
18,15,4,10,9,10,20,4,16,15,14,6,6,6,1,8,5,32,8,8,0.1895,0,0.8105,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.95,d
4,5,6,17,44,2,11,0,9,12,0,12,4,8,0,1,18,0,16,29,0.7642,0.0849,0.1509,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.06,z
27,12,0,1,14,5,3,24,7,23,11,12,3,2,5,20,17,0,5,16,0.5138,0.0856,0.4006,9,4,9,0,0,0,0,1,0,3,0,0,4,1,1,1,1,1,1,3.27,s
2,23,9,31,4,13,23,8,5,2,3,19,1,1,19,11,4,0,0,1,0.4444,0,0.5556,2,0,3,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0.81,c
8,15,14,7,3,19,6,19,4,8,2,20,1,4,44,7,3,0,0,15,0.9649,0.0351,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,-
15,7,9,8,3,8,6,18,0,15,16,11,32,4,4,9,13,0,0,17,0.4275,0.1451,0.4275,6,5,7,0,0,0,0,0,0,2,0,0,2,1,1,1,1,1,1,2.55,s
20,4,2,1,5,2,0,6,0,17,12,21,4,16,18,7,18,0,4,13,0.3816,0.1316,0.4868,1,0,3,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0.76,c
33,7,0,7,0,24,20,7,3,3,10,4,2,0,27,4,7,3,0,8,0.6619,0.2374,0.1007,3,4,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1.39,z
24,9,2,16,0,14,16,16,8,11,14,9,9,12,7,7,3,2,22,9,0.701,0.2304,0.0686,9,5,0,1,2,0,1,0,1,0,1,0,0,1,1,1,1,1,1,2.04,q
15,30,15,0,3,1,0,27,0,25,6,8,7,21,0,2,7,3,4,20,0.5148,0.2663,0.2189,6,5,4,1,0,2,1,0,0,0,1,0,0,1,1,1,1,1,1,1.69,s
8,11,29,9,10,9,7,8,15,6,7,4,8,1,15,14,4,0,5,19,0.5301,0.1325,0.3373,6,3,3,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1.66,z
5,16,0,7,14,10,6,20,3,17,16,6,19,2,16,1,7,12,0,18,0.5,0.2431,0.2569,6,3,3,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1.44,z
15,9,8,7,5,4,3,33,10,21,4,6,4,7,0,12,2,2,17,9,0.4747,0.1982,0.3272,6,3,5,0,0,2,0,1,0,0,1,0,1,1,1,1,1,1,1,2.17,q
12,2,9,22,0,1,12,20,7,17,9,1,1,18,16,12,6,6,10,7,0.4746,0.3051,0.2203,3,5,2,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1.18,q
13,16,20,12,1,1,13,16,0,1,3,2,0,10,37,9,6,3,7,5,0.6069,0.3931,0,6,8,0,0,1,0,1,0,2,0,1,3,0,0,0,0,0,0,0,1.73,g
3,8,15,19,1,16,32,7,7,13,15,5,14,10,4,6,2,3,21,17,0.5944,0.2632,0.1424,15,8,4,0,2,3,1,1,2,0,1,1,0,0,0,0,0,0,0,3.23,g
4,3,11,28,0,16,18,14,8,24,16,13,20,21,13,12,4,6,1,26,0.3652,0.6087,0.0261,2,7,0,0,0,0,2,0,2,0,1,2,0,0,0,0,0,0,0,1.15,g
9,6,27,13,10,11,6,20,0,17,8,3,9,1,19,10,1,1,9,26,0.5359,0.1503,0.3137,10,3,7,0,0,2,0,0,0,1,0,0,1,1,1,1,1,1,1,3.06,p
19,3,10,11,23,10,13,17,12,5,2,9,3,6,2,14,7,2,13,10,0.6026,0,0.3974,3,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.78,b
11,12,8,14,9,11,2,7,6,20,15,10,7,10,0,13,14,1,11,13,0.568,0.14,0.292,11,5,6,1,0,0,1,1,2,2,1,0,3,1,1,1,1,1,1,2.5,v
