@relation ProteinFoldsDicotsFeatSelect

@attribute pcvA numeric
@attribute pcvR numeric
@attribute pcvN numeric
@attribute pcvD numeric
@attribute pcvC numeric
@attribute pcvQ numeric
@attribute pcvE numeric
@attribute pcvG numeric
@attribute pcvH numeric
@attribute pcvI numeric
@attribute pcvL numeric
@attribute pcvK numeric
@attribute pcvM numeric
@attribute pcvF numeric
@attribute pcvP numeric
@attribute pcvS numeric
@attribute pcvT numeric
@attribute pcvW numeric
@attribute pcvY numeric
@attribute pcvV numeric
@attribute sscC numeric
@attribute sscE numeric
@attribute sscH numeric
@attribute dssC numeric
@attribute dssE numeric
@attribute dssH numeric
@attribute adssCCC numeric
@attribute adssCCE numeric
@attribute adssCCH numeric
@attribute adssCEE numeric
@attribute adssCHH numeric
@attribute adssECE numeric
@attribute adssECH numeric
@attribute adssEEC numeric
@attribute adssEEE numeric
@attribute adssHCH numeric
@attribute phyCsativus numeric
@attribute phyGmax numeric
@attribute phyLjaponicus numeric
@attribute phyPpersica numeric
@attribute phyRcommunis numeric
@attribute phySlycoparsicum numeric
@attribute length numeric
@attribute class {a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,-}

@data
0,15,21,7,9,14,3,7,12,17,15,12,11,14,33,4,20,0,5,19,0.662,0.2593,0.0787,8,8,1,0,0,0,2,0,3,1,2,1,0,1,1,1,1,1,1,2.16,h
7,38,8,5,0,9,4,7,4,9,10,28,6,7,17,15,14,13,0,9,0.5663,0,0.4337,3,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.83,c
11,13,2,7,10,14,10,15,12,11,5,8,20,18,2,14,6,7,12,30,0.3878,0.3878,0.2245,3,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.98,z
19,3,19,23,24,12,12,18,5,6,1,0,9,1,14,15,4,26,14,9,0.6679,0.306,0.0261,13,11,1,0,2,0,1,0,6,0,2,0,0,0,0,0,0,0,0,2.68,n
13,13,1,12,6,14,18,5,5,12,6,20,6,0,0,14,12,12,3,12,0.2533,0,0.7467,2,0,6,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1.5,a
8,8,10,23,1,12,19,9,6,5,7,12,13,7,15,13,5,4,15,4,0.562,0.3796,0.0584,6,6,1,0,0,0,1,0,2,1,1,1,0,1,1,1,1,1,1,1.37,l
11,2,10,22,14,5,17,21,1,10,8,5,8,0,3,9,8,0,0,11,0.5616,0.1781,0.2603,6,3,2,1,0,2,1,0,0,0,1,0,0,1,1,1,1,1,1,1.46,v
1,5,8,13,0,1,4,18,10,19,11,2,7,3,7,8,19,2,9,19,0.5398,0.1283,0.3319,10,3,7,0,0,1,0,1,0,2,1,0,3,1,1,1,1,1,1,2.26,v
14,3,10,9,0,4,11,12,10,13,11,13,5,5,2,11,12,15,2,22,0.3288,0,0.6712,2,0,6,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1.46,a
0,30,12,10,10,7,3,21,11,3,16,15,6,16,12,3,4,9,25,5,0.5357,0.4643,0,5,8,0,0,0,0,3,0,4,0,3,0,0,0,0,0,0,0,0,1.4,m
0,1,14,22,10,18,15,12,6,11,6,9,9,19,40,6,5,9,7,24,0.5145,0.4162,0.0694,8,8,1,0,0,0,2,0,4,1,2,1,0,0,0,0,0,0,0,1.73,o
4,11,17,13,6,18,6,11,2,13,18,8,5,3,18,17,9,0,8,18,0.578,0.2844,0.1376,4,4,1,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,1.09,n
12,0,9,10,0,4,11,18,3,6,3,2,2,3,7,17,24,2,7,8,0.629,0.3548,0.0161,6,6,0,0,1,0,2,0,2,0,2,0,0,0,0,0,0,0,0,1.86,i
2,11,10,7,3,13,11,6,10,13,13,1,6,2,0,20,38,0,6,5,0.5571,0.4048,0.0381,8,11,1,0,0,0,2,0,6,1,3,0,0,0,0,0,0,0,0,2.1,i
10,10,8,6,6,16,9,2,4,4,14,8,12,6,37,19,16,2,2,6,0.32,0,0.68,4,0,5,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1.75,e
3,12,7,10,4,7,21,8,0,20,7,15,17,11,8,8,13,0,0,18,0.4138,0.5862,0,2,6,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0.87,l
24,8,3,0,3,10,2,19,1,18,11,10,4,1,11,9,13,0,9,19,0.5098,0.183,0.3072,6,4,3,0,1,0,0,0,0,2,0,0,0,1,1,1,1,1,1,1.53,s
16,9,7,12,0,10,12,22,0,10,8,23,9,0,1,11,11,0,0,12,0.4114,0.1203,0.4684,7,1,6,0,0,1,0,1,0,1,0,0,3,0,0,0,0,0,1,1.58,r
13,6,14,22,9,6,17,7,7,5,1,15,2,15,4,9,10,3,15,5,0.4348,0.4638,0.1014,2,5,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0.69,l
10,9,10,4,2,3,2,6,3,6,12,6,20,10,23,17,13,0,17,21,0.5778,0.1172,0.3051,16,7,11,0,0,2,0,0,0,5,0,0,3,1,1,1,1,1,1,4.95,p
39,5,8,11,24,7,5,33,11,5,0,14,7,1,14,7,5,5,2,6,0.481,0,0.519,2,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.79,b
15,0,16,24,0,6,3,19,7,6,0,4,2,9,6,14,44,18,17,15,0.6771,0.3229,0,3,4,0,0,0,0,1,0,2,0,1,0,0,1,1,1,1,1,1,0.96,h
5,4,16,21,5,5,20,7,1,3,11,19,15,20,6,12,6,12,15,5,0.2774,0.5985,0.1241,0,10,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1.37,o
15,2,5,10,0,8,11,16,0,11,5,26,14,17,14,8,7,0,5,11,0.6577,0,0.3423,4,0,3,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1.11,b
11,5,2,2,0,22,4,13,0,10,10,0,2,2,16,23,26,5,0,19,0.5965,0.4035,0,7,6,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1.14,g
6,5,7,1,14,28,10,6,10,6,6,9,3,2,24,7,33,15,6,7,0.7189,0.2235,0.0576,14,10,2,2,3,0,2,0,3,1,2,1,1,0,0,0,0,0,0,4.34,j
2,17,11,23,7,12,14,10,7,15,11,4,4,1,29,8,14,0,2,21,0.5657,0.4343,0,5,6,0,0,0,0,2,0,3,0,2,0,0,0,0,0,0,0,0,0.99,g
20,19,8,19,0,17,13,6,1,13,7,8,8,11,9,26,12,11,13,13,0.64,0.0725,0.2875,10,2,8,0,0,3,0,1,0,1,0,0,3,1,1,1,1,1,0,4,g
9,2,9,6,0,11,9,17,3,23,3,6,6,4,27,24,32,0,0,20,0.5116,0.4884,0,4,5,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0.86,p
5,12,12,14,45,10,7,2,6,4,5,7,17,7,14,3,11,1,3,3,0.6389,0.0556,0.3056,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,-
6,19,9,15,1,17,21,7,16,4,11,14,24,17,20,7,11,5,5,5,0.5226,0.2065,0.271,5,2,4,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1.55,v
14,14,6,26,1,4,15,8,5,21,13,8,13,4,13,12,18,11,3,20,0.4257,0.1535,0.4208,5,3,7,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,2.02,p
13,5,4,4,11,8,14,7,11,12,9,4,4,11,25,24,23,6,8,20,0.4689,0.5311,0,6,13,0,0,0,0,3,0,6,0,3,2,0,0,0,0,0,0,0,1.77,g
18,4,10,10,2,13,9,5,2,11,7,4,5,1,31,12,17,24,3,16,0.5784,0.4216,0,5,7,0,0,0,0,1,0,4,0,1,1,0,0,0,0,0,0,0,1.02,g
24,8,0,8,0,7,5,7,0,9,9,8,10,8,13,19,25,0,4,13,0.284,0,0.716,4,0,6,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1.62,a
25,10,2,14,0,7,5,10,0,10,8,9,12,18,2,19,7,0,8,14,0.2558,0,0.7442,4,0,6,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1.72,a
10,7,16,8,0,12,3,22,9,14,8,5,0,5,14,12,24,2,20,27,0.618,0.0805,0.3015,18,6,13,0,0,2,0,2,1,5,0,0,4,0,0,0,0,1,0,5.34,w
18,8,6,6,10,10,8,5,8,8,6,9,15,14,29,10,12,8,15,11,0.6901,0.3099,0,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.71,k
4,7,12,4,0,9,15,21,1,9,2,19,13,23,0,3,9,13,11,10,0.597,0.403,0,2,4,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0.67,l
8,11,12,22,9,10,25,9,1,5,9,15,6,19,1,7,2,4,12,4,0.2941,0,0.7059,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.34,f
17,2,12,12,0,4,6,10,6,15,10,8,1,8,20,15,11,15,9,14,0.4393,0.5327,0.028,3,7,0,0,0,0,2,0,1,0,2,3,0,0,0,0,0,0,0,1.07,g
14,4,15,16,0,5,5,8,11,2,10,5,4,2,19,13,18,7,4,3,0.6254,0.0958,0.2789,11,4,6,1,0,1,0,0,1,2,0,0,2,1,0,1,1,1,1,3.55,p
24,5,10,12,12,6,7,19,1,8,10,2,4,3,26,19,13,0,0,9,0.6,0.14,0.26,5,4,4,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,r
21,8,7,8,22,19,14,14,11,3,2,30,4,9,3,7,7,0,1,6,0.6371,0,0.3629,3,0,4,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1.24,b
18,14,1,9,0,1,3,43,0,19,14,19,12,0,0,12,6,0,6,13,0.4855,0.1701,0.3444,9,6,5,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,2.41,s
1,5,8,3,0,9,20,6,1,13,9,8,10,7,28,8,12,0,2,25,0.47,0.53,0,4,6,0,0,1,0,1,0,2,0,1,2,0,0,0,0,0,0,0,1,g
2,13,7,4,12,16,16,6,18,1,4,10,2,23,9,5,12,6,17,2,0.4681,0.4628,0.0691,5,9,1,0,0,0,1,0,3,1,2,2,0,0,0,0,0,0,0,1.88,g
7,7,6,23,1,20,26,1,8,16,17,5,4,10,2,11,18,19,10,11,0.4301,0.1554,0.4145,7,4,6,0,0,1,1,0,1,1,1,0,2,0,0,0,0,0,0,1.93,v
15,0,8,13,1,20,22,10,8,10,4,21,1,9,23,6,15,5,16,15,0.4021,0.127,0.4709,6,2,7,0,1,1,0,1,0,2,0,0,0,0,0,1,0,0,0,1.89,u
10,5,2,12,5,2,4,17,1,13,5,12,12,17,0,9,39,9,7,21,0.5023,0.1584,0.3394,7,5,7,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,2.21,t
13,8,10,19,2,15,21,11,6,10,11,21,10,1,2,14,9,19,3,14,0.2721,0,0.7279,2,0,6,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1.36,a
8,16,6,24,1,4,13,5,4,9,11,3,18,26,26,2,8,11,13,5,0.5065,0.1194,0.3742,12,5,11,0,0,1,0,1,1,3,0,0,3,1,1,1,1,1,1,3.1,w
14,15,13,7,0,5,10,7,10,15,10,11,27,6,8,4,6,0,4,8,0.5071,0.195,0.2979,13,7,6,2,1,0,0,1,2,4,0,0,1,1,1,1,1,1,1,2.82,t
1,2,0,7,0,4,25,7,0,20,14,5,27,4,24,0,7,1,10,28,0.5889,0.2778,0.1333,4,3,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0.9,z
8,14,10,2,2,4,10,14,20,16,2,20,0,8,8,3,11,0,3,16,0.4789,0.1174,0.4038,8,3,6,0,0,0,0,0,0,3,0,0,2,1,1,1,1,1,1,2.13,t
12,13,3,0,24,8,7,7,5,14,7,13,16,17,13,5,14,11,21,13,0.4,0.2118,0.3882,2,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.85,u
11,25,3,7,0,22,23,2,10,2,10,12,2,17,7,7,15,0,8,2,0.3333,0,0.6667,2,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0.54,c
10,8,12,18,0,23,10,13,3,15,13,13,13,20,27,8,5,5,13,19,0.4817,0.439,0.0793,5,8,1,0,0,0,1,0,1,1,1,5,0,0,0,0,0,0,0,1.64,o
8,1,16,2,11,17,8,15,11,13,5,3,4,4,16,15,6,18,17,17,0.4884,0.5116,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.43,n
14,4,5,8,3,16,18,2,12,7,11,18,7,11,14,11,18,0,20,2,0.5306,0.0778,0.3917,16,3,11,0,0,3,0,0,0,2,0,0,4,1,1,1,1,1,1,3.6,p
5,9,3,8,31,2,7,10,10,7,8,9,2,7,40,9,16,0,9,11,0.5446,0.4464,0.0089,9,11,0,0,1,0,1,0,6,0,1,2,0,0,0,0,0,0,0,2.24,g
14,1,14,17,44,1,21,7,5,16,3,4,3,1,15,10,8,0,8,15,0.7818,0.2182,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0.55,z
32,13,0,2,2,5,1,32,17,24,5,9,6,5,3,14,13,0,13,27,0.5372,0.2234,0.2394,4,3,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.88,q
29,10,3,7,0,10,23,8,21,3,5,7,5,10,18,9,10,22,22,4,0.4532,0.2302,0.3165,4,5,3,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1.39,q
38,9,11,7,24,14,9,24,11,5,2,18,5,0,4,5,5,0,0,6,0.4231,0,0.5769,2,0,4,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0.78,b
40,5,3,15,0,20,10,13,4,5,5,26,1,2,21,7,3,1,5,5,0.4896,0,0.5104,3,0,4,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0.96,b
16,11,8,17,1,18,23,2,0,9,13,24,9,8,3,20,12,17,4,13,0.2394,0,0.7606,1,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.42,a
10,13,15,17,0,7,16,0,4,14,14,7,6,7,17,23,26,14,1,17,0.4945,0.5055,0,4,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.91,g
3,3,27,6,0,18,6,13,8,11,7,3,13,10,0,18,7,6,22,8,0.2766,0,0.7234,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.47,i
7,9,8,12,7,13,21,8,15,17,8,13,1,11,6,4,25,0,12,20,0.5306,0.3469,0.1224,3,4,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0.98,y
3,9,10,1,0,18,15,6,9,12,5,14,8,6,35,8,7,1,6,22,0.4848,0.5152,0,3,7,0,0,0,0,1,0,3,0,1,2,0,0,0,0,0,0,0,0.99,g
15,12,2,17,35,9,12,14,6,18,4,15,1,4,3,8,7,7,4,23,0.4688,0.2812,0.25,2,2,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0.64,z
24,9,2,16,0,14,16,16,8,11,14,9,9,12,7,7,3,2,22,9,0.701,0.2304,0.0686,9,5,0,1,2,0,1,0,1,0,1,0,0,1,1,1,1,1,1,2.04,q
10,6,17,21,2,5,4,7,0,24,15,8,17,20,3,11,11,3,22,21,0.4045,0.1974,0.3981,6,8,9,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3.09,x
10,32,1,8,0,6,19,3,0,19,17,23,11,4,24,3,10,8,4,19,0.4844,0.1484,0.3672,6,1,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1.28,r
38,16,0,18,4,0,8,6,1,13,22,0,32,7,5,3,29,7,0,11,0.5054,0.1576,0.337,4,4,5,0,0,0,0,0,0,2,1,0,0,1,1,1,1,1,1,1.84,s
9,6,25,13,10,11,6,20,0,18,8,3,8,1,20,9,3,1,9,26,0.5294,0.183,0.2876,11,6,7,0,1,0,0,0,0,2,0,0,1,1,1,1,1,1,1,3.06,p
7,13,3,0,13,4,0,26,0,18,17,19,4,1,16,25,11,0,1,19,0.3925,0.1935,0.414,4,4,7,0,0,0,0,0,0,2,0,0,1,1,1,1,1,1,1,1.86,t
11,12,8,14,9,11,2,7,6,20,15,10,7,10,0,13,14,1,11,13,0.568,0.14,0.292,11,5,6,1,0,0,1,1,2,2,1,0,3,1,1,1,1,1,1,2.5,v
6,1,9,2,22,7,9,21,1,1,14,10,31,16,5,0,14,1,14,4,0.4878,0.0854,0.4268,12,2,7,1,2,1,0,0,0,1,0,0,4,1,1,1,1,1,1,2.46,v
12,13,6,6,0,12,4,0,15,10,1,11,1,1,35,10,15,10,3,12,0.5039,0.0315,0.4646,6,0,4,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1.27,e
23,5,11,17,5,3,6,9,2,12,4,13,5,4,17,25,19,11,4,8,0.5294,0.4706,0,7,8,0,0,1,0,2,0,3,0,2,1,0,0,0,0,0,0,0,1.53,g
9,20,9,9,12,15,20,0,7,15,19,22,25,8,13,5,7,0,12,14,0.5095,0.0921,0.3984,11,1,11,0,0,3,0,3,0,0,0,0,4,1,1,1,1,1,1,3.69,p
19,3,10,16,10,8,7,4,7,12,4,13,5,13,6,25,21,0,16,13,0.6515,0.1667,0.1818,8,3,4,0,0,1,0,0,1,2,0,0,1,1,1,1,1,1,1,1.98,u
10,23,7,5,3,3,8,13,4,16,19,13,11,15,19,4,8,1,25,6,0.4574,0.2021,0.3404,2,2,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.94,u
12,22,5,5,7,2,7,12,4,15,22,10,14,23,13,7,8,1,28,7,0.5155,0.1856,0.299,4,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.97,u
0,15,15,23,15,23,16,9,8,4,5,18,7,15,29,5,6,5,10,19,0.541,0.388,0.071,8,8,1,0,0,0,2,0,4,1,2,1,0,0,0,0,0,0,0,1.83,o
14,8,11,10,5,4,10,15,39,3,6,10,8,13,0,10,4,3,14,2,0.5847,0.4153,0,3,6,0,0,1,0,1,0,0,0,1,4,0,0,0,0,0,0,0,1.18,m
18,30,5,12,0,15,18,8,5,9,14,23,16,2,17,6,7,8,0,4,0.3846,0,0.6154,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.52,c
27,17,9,10,1,10,6,37,1,19,12,14,7,3,0,8,10,0,0,20,0.4783,0.1265,0.3953,6,4,6,0,0,0,0,0,0,1,0,0,2,1,1,1,1,1,1,2.53,s
16,30,14,0,1,1,0,26,0,25,9,7,3,21,0,1,0,3,10,16,0.497,0.2635,0.2395,6,5,4,0,0,2,1,0,1,0,1,0,0,1,1,1,1,1,1,1.67,s
7,30,8,3,0,4,13,4,7,11,6,27,1,9,0,12,17,0,5,11,0.4603,0.0952,0.4444,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.63,c
3,17,0,13,0,6,3,28,0,37,10,2,1,7,9,8,15,0,8,16,0.3228,0.2089,0.4684,4,4,5,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1.58,v
13,1,14,18,0,3,8,9,0,4,13,8,10,12,29,14,18,10,8,13,0.5566,0.1604,0.283,5,2,3,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1.06,c
14,8,6,10,0,12,7,20,1,13,12,11,4,0,4,11,13,0,0,9,0.3121,0,0.6879,3,0,6,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,1.57,a
5,11,12,11,11,20,11,7,29,17,18,7,13,1,4,12,5,0,5,8,0.3919,0.0541,0.5541,5,1,6,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,1.48,e
7,8,9,16,4,10,24,15,9,8,12,6,7,5,14,23,15,4,1,28,0.467,0.533,0,7,11,0,0,0,0,4,0,6,0,3,0,0,0,0,0,0,0,0,1.82,g
12,3,1,12,0,12,21,12,4,12,8,9,5,12,8,4,5,5,17,11,0.4559,0.1912,0.3529,5,4,4,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1.36,v
18,9,1,9,1,7,15,7,0,11,6,13,3,18,29,11,10,2,15,8,0.4958,0.1933,0.3109,8,5,7,0,1,0,0,1,1,2,0,0,1,0,0,0,0,1,0,2.38,x
28,7,5,7,0,6,6,1,10,12,3,21,9,1,24,15,13,0,7,14,0.5111,0.0667,0.4222,5,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.9,c
13,17,13,7,0,14,3,0,20,11,22,2,13,15,15,10,6,1,12,10,0.3554,0,0.6446,4,0,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1.66,e
23,0,12,10,33,2,1,11,18,8,11,0,3,8,1,12,8,19,3,9,0.6,0.125,0.275,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,-
4,22,17,8,2,20,6,5,18,1,25,7,14,4,7,6,8,3,8,1,0.2595,0,0.7405,3,0,5,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1.58,e
4,6,10,19,5,1,19,8,1,5,11,22,22,21,3,12,7,12,17,9,0.2879,0.6136,0.0985,1,10,1,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,1.32,o
4,2,29,20,0,1,15,9,4,32,7,9,1,7,24,8,0,2,7,24,0.5771,0.2571,0.1657,7,6,2,0,0,0,1,0,4,1,1,0,1,1,1,1,1,1,1,1.75,l
7,19,15,13,28,13,10,5,26,10,13,5,13,11,12,12,11,6,4,10,0.2715,0,0.7285,4,0,6,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,1.51,e
6,18,14,15,15,28,3,6,15,14,14,15,11,9,5,15,9,15,14,11,0.4897,0.5103,0,5,11,0,0,1,0,2,0,3,0,2,3,0,0,0,0,0,0,0,1.45,m
17,7,5,7,0,11,12,15,3,12,11,17,3,6,1,8,12,12,3,9,0.2695,0,0.7305,1,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.41,a
4,15,1,20,6,5,12,10,10,22,10,22,4,6,5,1,15,2,12,37,0.3824,0.3603,0.2574,3,6,3,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1.36,l
2,14,6,11,30,13,7,14,5,13,6,20,5,0,23,6,3,0,0,13,0.5135,0.4054,0.0811,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,-
4,22,2,12,3,25,20,0,7,20,17,21,14,9,7,3,8,3,9,8,0.4881,0.0952,0.4167,3,1,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.84,c
2,1,35,19,1,9,6,3,6,15,13,4,1,34,11,29,23,0,9,3,0.547,0.453,0,6,10,0,0,0,0,1,0,6,0,0,2,0,1,1,1,1,1,1,1.81,j
7,34,8,4,9,11,6,11,6,1,1,23,1,16,14,13,15,10,7,0,0.404,0.0202,0.5758,2,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.99,c
4,5,14,22,8,8,23,9,2,5,12,13,21,19,2,12,6,12,16,10,0.2901,0.5954,0.1145,0,10,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1.31,o
12,7,8,5,27,5,1,4,18,5,5,4,8,0,37,19,16,2,2,5,0.3722,0,0.6278,4,0,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1.8,e
19,4,7,0,14,5,0,21,0,28,4,7,11,9,8,15,16,0,4,25,0.4336,0.1748,0.3916,4,3,4,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1.43,s
3,9,7,15,0,11,16,0,6,14,17,10,6,3,11,15,13,11,20,25,0.4038,0.5962,0,2,3,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0.52,j
6,3,19,12,20,13,14,12,3,17,20,7,13,5,0,10,4,0,0,10,0.6154,0.1795,0.2051,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,-
3,5,8,5,34,8,19,6,6,6,4,12,2,9,12,12,10,15,24,4,0.4222,0.5778,0,2,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.45,-
