@relation ProteinFoldsPFRESFeatSelect

@attribute pcvA numeric
@attribute pcvR numeric
@attribute pcvN numeric
@attribute pcvD numeric
@attribute pcvC numeric
@attribute pcvQ numeric
@attribute pcvE numeric
@attribute pcvG numeric
@attribute pcvH numeric
@attribute pcvI numeric
@attribute pcvL numeric
@attribute pcvK numeric
@attribute pcvM numeric
@attribute pcvF numeric
@attribute pcvP numeric
@attribute pcvS numeric
@attribute pcvT numeric
@attribute pcvW numeric
@attribute pcvY numeric
@attribute pcvV numeric
@attribute sscC numeric
@attribute sscE numeric
@attribute sscH numeric
@attribute dssE numeric
@attribute dssH numeric
@attribute adssCEE numeric
@attribute adssCHH numeric
@attribute adssECE numeric
@attribute adssECH numeric
@attribute adssEEC numeric
@attribute adssEEE numeric
@attribute adssEHE numeric
@attribute adssHCE numeric
@attribute adssHCH numeric
@attribute adssHEC numeric
@attribute length numeric
@attribute class {a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,-}

@data
1.0556,0.3667,0.6444,0.6889,0.2667,0.6111,0.5667,1.0667,0.4,0.4556,0.4444,0.5889,0.3556,0.3,0.3111,0.3444,0.4222,0.5778,0.4889,0.5222,0.4444,0,0.5556,0,4,0,1,0,0,0,0,0,0,2,0,0.9,b
0.6146,0.3122,0.5561,0.5951,0.0683,0.4829,0.5951,0.5317,0.7854,0.5122,0.3902,0.478,0.7951,0.5659,0.6049,0.522,0.3512,0.239,0.5268,0.5366,0.5805,0.2732,0.1463,7,3,2,0,2,0,2,2,0,0,1,0,2.05,h
0.8512,0.5714,0.4048,0.6726,0.375,0.2798,0.5655,0.7321,0.5655,0.8095,0.4583,0.5298,0.5476,0.4405,0.6488,0.3869,0.4048,0.2262,0.4405,1,0.5655,0.1964,0.2381,4,2,0,0,0,0,0,0,1,0,0,2,1.68,s
0.5408,0.4694,0.3469,0.6837,0.1531,0.2653,0.602,0.551,0.2755,0.5816,0.4898,0.5612,0.3367,0.4898,0.3469,0.4796,0.5204,0.051,0.4796,0.5306,0.5204,0.4286,0.051,3,0,1,0,1,0,1,0,0,0,0,0,0.98,t
0.5126,0.479,0.2185,0.437,0.1513,0.5042,0.7479,0.8824,0.1765,0.7143,0.3782,0.6555,0.395,0.5378,0.4454,0.3529,0.1933,0.1345,0.4874,0.7983,0.4874,0.2521,0.2605,3,2,0,0,1,1,0,0,0,1,0,0,1.19,z
0.3154,0.7303,0.332,0.8008,0.2822,0.3983,0.6349,0.4191,0.4564,0.6515,0.4938,0.4689,0.4108,0.4979,0.3776,0.2448,0.2365,0.6473,0.4357,0.4689,0.4772,0.0996,0.4232,3,8,0,1,0,2,0,0,0,0,4,1,2.41,t
0.2651,0.8313,0.494,0.4699,0.6506,0.4699,0.2892,0.4578,0.7349,0.5663,0.747,0.6386,0.4578,0.7108,0.5904,0.7229,0.9277,0.6506,0.6145,0.6145,0.4096,0.4458,0.1446,4,1,0,0,1,0,0,0,0,1,0,0,0.83,z
0.8151,0.4521,0.387,0.5651,0.2877,0.4041,0.5822,0.6096,0.4384,0.7466,0.7192,0.3801,0.524,0.2671,0.5171,0.3664,0.4863,0.1404,0.2808,0.7637,0.4178,0.1233,0.4589,5,11,0,1,0,3,0,0,0,0,3,2,2.92,p
0.4271,0.393,0.8108,0.5905,0.1386,0.4685,0.3495,0.4891,0.2399,0.4095,0.4426,0.2989,0.4747,0.5615,0.6236,0.4933,0.5988,0.3547,0.7311,0.4292,0.7135,0.1986,0.0879,19,7,3,0,7,5,3,1,0,2,1,0,9.67,i
0.9756,0.372,0.4878,0.7683,0.2317,0.439,0.5976,0.7927,0.2988,0.8841,0.6951,0.3902,0.561,0.3476,0.2744,0.372,0.4573,0.0549,0.1646,0.878,0.4634,0.1585,0.378,2,4,0,1,0,0,0,0,1,0,0,1,1.64,s
0.451,0.4379,0.5817,0.5425,0.1176,0.3268,0.6144,0.7255,0.085,0.4902,0.6013,0.5033,0.732,0.4706,0.4314,0.3595,0.4444,0.2092,0.4902,0.6209,0.4641,0.1176,0.4183,1,4,0,1,0,0,0,0,0,0,1,0,1.53,p
1.072,0.5932,0.2415,0.7415,0.2712,0.5212,0.5127,0.8771,0.5975,0.6186,0.5508,0.4068,0.4068,0.5339,0.6992,0.2076,0.2669,0.4661,0.6314,0.6949,0.4534,0.1949,0.3517,8,6,0,1,2,4,1,0,1,1,0,3,2.36,w
0.241,0.7108,0.6506,0.8795,0.4458,0.7831,1.2771,0.4337,0.5904,0.5301,0.759,0.6988,0.6867,0.7349,0.3855,0.4337,0.3494,0.0843,0.5542,0.3253,0.4337,0,0.5663,0,4,0,1,0,0,0,0,0,0,2,0,0.83,f
0.2824,0.5267,0.6336,0.6107,0.3435,0.5954,0.5496,0.4733,0.542,0.8397,0.6489,0.4809,0.3053,0.7786,0.7023,0.4962,0.458,0.2824,0.5038,0.8473,0.5115,0.4885,0,8,0,1,0,6,0,1,0,0,0,0,0,1.31,p
0.2532,0.3797,0.443,0.7595,0.0127,0.5949,0.6835,0.5316,0.481,0.519,0.4557,0.4177,0.3671,0.7722,0.4304,0.4557,0.443,0.2532,0.7848,0.3924,0.4557,0.2911,0.2532,3,1,1,0,1,1,1,0,0,0,0,0,0.79,g
0.6624,0.3698,0.5981,0.4887,0.3344,0.3601,0.6302,0.7138,0.283,0.9389,0.5981,0.5563,0.5981,0.5434,0.6495,0.3569,0.5016,0.1061,0.508,0.8232,0.508,0.1254,0.3666,3,8,0,0,0,2,0,0,0,1,3,1,3.11,p
0.581,0.2765,0.5866,0.5894,0.1899,0.3883,0.6425,0.6453,0.4693,0.6955,0.5391,0.7542,0.3631,0.5168,0.4469,0.4777,0.3408,0.2151,0.5698,0.6536,0.4637,0.0866,0.4497,3,11,0,1,0,2,0,0,0,1,5,1,3.58,p
0.4857,0.5771,0.6,0.7714,0.1257,0.6571,0.8914,0.4,0.6857,0.6229,0.7029,0.6914,0.3086,0.8514,0.3829,0.5029,0.4971,0.1429,0.7257,0.4171,0.4171,0.1486,0.4343,4,6,0,0,0,2,0,0,0,3,0,0,1.75,s
0.6301,0.9452,0.0822,0.726,0,0.4932,1.1096,0.5479,0.2603,0.6438,0.8356,0.6027,0.5205,0.0822,0.4658,0.4932,0.6986,0.1918,0.5616,0.7808,0.3425,0.0822,0.5753,0,4,0,1,0,0,0,0,0,0,1,0,0.73,c
0.6402,0.3333,0.582,0.6402,0.1323,0.8148,0.7037,0.4286,0.3862,0.6085,0.4286,0.9418,0.545,0.7884,0.545,0.3175,0.381,0.3175,0.6561,0.7407,0.4021,0.127,0.4709,2,7,0,1,0,2,0,0,0,0,0,1,1.89,u
1.3671,0.4177,0.519,0.6582,0.2911,0.6582,0.3924,1,0.3671,0.481,0.4557,0.7089,0.8101,0.2658,0.4937,0.519,0.2785,0.1266,0.5316,0.3418,0.443,0,0.557,0,4,0,1,0,0,0,0,0,0,2,0,0.79,b
0.9549,0.4511,0.5414,0.6391,0.2857,0.3308,0.6165,0.6015,0.6466,0.5789,0.6767,0.5113,0.406,0.797,0.2932,0.3383,0.3609,0.0677,0.609,0.8271,0.391,0.1955,0.4135,4,3,0,0,0,2,1,0,1,0,0,1,1.33,r
0.5867,0.5051,0.5153,0.6582,0.25,0.3929,0.551,0.7092,0.6582,0.801,0.852,0.4337,0.5714,0.5357,0.3214,0.3367,0.4592,0.0561,0.4745,0.6276,0.4949,0.1633,0.3418,4,5,0,0,0,1,0,0,1,1,0,3,1.96,s
0.2756,0.3543,0.4961,0.6614,0.3622,0.3701,0.8504,0.6772,0.1654,0.748,0.4173,1.0315,0.5669,0.5984,0.1654,0.4409,1.0945,0.2677,0.3386,0.7874,0.3307,0.5591,0.1102,9,1,0,0,0,0,0,6,1,0,0,0,1.27,o
0.7619,0.4127,0.5397,0.5952,0.1508,0.254,0.5635,0.6746,0.3016,0.7143,0.5556,0.7619,0.3492,0.2778,0.254,0.4365,0.4127,0.0952,0.254,0.7063,0.3968,0.1587,0.4444,3,4,1,1,1,1,1,0,0,0,2,0,1.26,p
